base,target,top0,top1,top2,top3,top4,k_order,k_score
year__years,day__days,year__years,week__weeks,month__months,hour__hours,day__days,4,0.905938566
problem__problems,river__rivers,problem__problems,solution__solutions,event__events,responsibility__responsibilities,role__roles,,
system__systems,version__versions,system__systems,story__stories,theory__theories,application__applications,role__roles,,
population__populations,council__councils,population__populations,community__communities,army__armies,family__families,society__societies,,
river__rivers,year__years,river__rivers,city__cities,cloud__clouds,street__streets,university__universities,,
night__nights,system__systems,night__nights,day__days,century__centuries,death__deaths,city__cities,,
death__deaths,god__gods,death__deaths,loss__losses,event__events,solution__solutions,search__searches,,
thing__things,customer__customers,thing__things,event__events,fact__facts,property__properties,cloud__clouds,,
example__examples,product__products,example__examples,entry__entries,theory__theories,application__applications,story__stories,,
department__departments,idea__ideas,department__departments,county__counties,industry__industries,country__countries,category__categories,,
day__days,application__applications,day__days,week__weeks,month__months,century__centuries,year__years,,
student__students,thing__things,student__students,player__players,user__users,customer__customers,member__members,,
hour__hours,player__players,hour__hours,week__weeks,year__years,month__months,day__days,,
language__languages,album__albums,language__languages,song__songs,technology__technologies,role__roles,color__colors,,
god__gods,thing__things,god__gods,bird__birds,dog__dogs,monkey__monkeys,cow__cows,,
album__albums,member__members,album__albums,play__plays,entry__entries,song__songs,category__categories,,
director__directors,development__developments,director__directors,student__students,player__players,member__members,user__users,,
product__products,application__applications,product__products,property__properties,idea__ideas,technology__technologies,activity__activities,,
song__songs,law__laws,song__songs,story__stories,language__languages,role__roles,theory__theories,,
infringe__infringement,develop__development,infringe__infringement,colonize__colonization,occupy__occupation,harass__harassment,accuse__accusation,,
replace__replacement,impair__impairment,replace__replacement,stabilize__stabilization,restore__restoration,reinforce__reinforcement,prepare__preparation,,
harass__harassment,agree__agreement,harass__harassment,infringe__infringement,colonize__colonization,accuse__accusation,encourage__encouragement,,
advertise__advertisement,excite__excitement,advertise__advertisement,announce__announcement,reimburse__reimbursement,examine__examination,authorize__authorization,,
enjoy__enjoyment,improve__improvement,enjoy__enjoyment,explore__exploration,aspire__aspiration,realize__realization,admire__admiration,,
assess__assessment,enlighten__enlightenment,assess__assessment,characterize__characterization,announce__announcement,assign__assignment,visualize__visualization,,
accomplish__accomplishment,improve__improvement,accomplish__accomplishment,achieve__achievement,realize__realization,engage__engagement,develop__development,,
displace__displacement,establish__establishment,displace__displacement,degrade__degradation,impair__impairment,detach__detachment,perspire__perspiration,,
reinforce__reinforcement,embarrass__embarrassment,reinforce__reinforcement,enhance__enhancement,restore__restoration,stabilize__stabilization,visualize__visualization,,
arrange__arrangement,commit__commitment,arrange__arrangement,appoint__appointment,standardize__standardization,announce__announcement,assign__assignment,,
amend__amendment,enforce__enforcement,amend__amendment,enhance__enhancement,restore__restoration,declare__declaration,reinforce__reinforcement,,
adjust__adjustment,establish__establishment,adjust__adjustment,enhance__enhancement,restore__restoration,stabilize__stabilization,customize__customization,,
redevelop__redevelopment,achieve__achievement,redevelop__redevelopment,reorganize__reorganization,improvize__improvization,restore__restoration,stabilize__stabilization,,
agree__agreement,redevelop__redevelopment,agree__agreement,determine__determination,realize__realization,admire__admiration,enjoy__enjoyment,,
resent__resentment,improve__improvement,resent__resentment,disappoint__disappointment,determine__determination,disagree__disagreement,engage__engagement,,
develop__development,reimburse__reimbursement,develop__development,modernize__modernization,randomize__randomization,globalize__globalization,continue__continuation,,
punish__punishment,establish__establishment,punish__punishment,encourage__encouragement,explore__exploration,restore__restoration,invest__investment,,
detach__detachment,redevelop__redevelopment,detach__detachment,degrade__degradation,displace__displacement,randomize__randomization,develop__development,,
commit__commitment,reinforce__reinforcement,commit__commitment,infringe__infringement,admire__admiration,agree__agreement,entitle__entitlement,,
disagree__disagreement,acknowledge__acknowledgement,disagree__disagreement,agree__agreement,disappoint__disappointment,resent__resentment,determine__determination,,
fulfill__fulfillment,agree__agreement,fulfill__fulfillment,fulfil__fulfilment,enlighten__enlightenment,inspire__inspiration,accomplish__accomplishment,,
enlighten__enlightenment,establish__establishment,enlighten__enlightenment,fulfill__fulfillment,fulfil__fulfilment,inspire__inspiration,globalize__globalization,,
disappoint__disappointment,assign__assignment,disappoint__disappointment,resent__resentment,disagree__disagreement,degrade__degradation,engage__engagement,,
achieve__achievement,enlighten__enlightenment,achieve__achievement,accomplish__accomplishment,engage__engagement,stabilize__stabilization,specialize__specialization,,
amuse__amusement,invest__investment,amuse__amusement,inspire__inspiration,illumine__illumination,excite__excitement,enlighten__enlightenment,,
align__alignment,amuse__amusement,align__alignment,arrange__arrangement,develop__development,continue__continuation,maximize__maximization,,
engage__engagement,enjoy__enjoyment,engage__engagement,achieve__achievement,stabilize__stabilization,prepare__preparation,randomize__randomization,,
equip__equipment,punish__punishment,equip__equipment,deliver__deliverable,configure__configuration,arrange__arrangement,appoint__appointment,,
entertain__entertainment,require__requirement,entertain__entertainment,organize__organization,standardize__standardization,restore__restoration,achieve__achievement,,
manage__management,embarrass__embarrassment,manage__management,enforce__enforcement,standardize__standardization,restore__restoration,explore__exploration,,
assign__assignment,commit__commitment,assign__assignment,assess__assessment,appoint__appointment,announce__announcement,characterize__characterization,,
establish__establishment,assess__assessment,establish__establishment,organize__organization,arrange__arrangement,establish__established,achieve__achievement,,
announce__announcement,develop__development,announce__announcement,advertise__advertisement,assess__assessment,assign__assignment,install__installation,,
appoint__appointment,enforce__enforcement,appoint__appointment,assign__assignment,announce__announcement,arrange__arrangement,endorse__endorsement,,
reimburse__reimbursement,equip__equipment,reimburse__reimbursement,authorize__authorization,acknowledge__acknowledgement,advertise__advertisement,compile__compilation,,
enforce__enforcement,disagree__disagreement,enforce__enforcement,standardize__standardization,restore__restoration,develop__development,manage__management,,
enhance__enhancement,enlighten__enlightenment,enhance__enhancement,adjust__adjustment,reinforce__reinforcement,stabilize__stabilization,customize__customization,,
embarrass__embarrassment,disappoint__disappointment,embarrass__embarrassment,excite__excitement,annoy__irritation,deprive__deprivation,impair__impairment,,
enroll__enrollment,announce__announcement,enroll__enrollment,install__installation,compile__compilation,enforce__enforcement,examine__examination,,
impair__impairment,fulfill__fulfillment,impair__impairment,displace__displacement,excite__excitement,degrade__degradation,perspire__perspiration,,
invest__investment,replace__replacement,invest__investment,engage__engagement,achieve__achievement,accomplish__accomplishment,adjust__adjustment,,
require__requirement,align__alignment,require__requirement,declare__declaration,authorize__authorization,allege__allegation,amend__amendment,,
encourage__encouragement,achieve__achievement,encourage__encouragement,punish__punishment,reinforce__reinforcement,declare__declaration,accuse__accusation,,
acknowledge__acknowledgement,improve__improvement,acknowledge__acknowledgement,authorize__authorization,reimburse__reimbursement,characterize__characterization,declare__declaration,,
endorse__endorsement,equip__equipment,endorse__endorsement,amend__amendment,appoint__appointment,acknowledge__acknowledgement,assign__assignment,,
trout__river,cockroach__nest,trout__river,hippopotamus__river,herring__sea,crocodile__river,fish__sea,,
dolphin__sea,insect__nest,dolphin__sea,fish__sea,whale__sea,hippopotamus__river,camel__desert,,
fly__nest,beaver__dam,fly__nest,snake__nest,fly__seal,scorpion__nest,rat__nest,,
cattle__barn,chimpanzee__grove,cattle__barn,car__garage,flower__greenhouse,blossom__greenhouse,goods__warehouse,,
cricket__nest,beaver__dam,cricket__nest,chinchilla__nest,mouse__nest,crow__nest,hornet__nest,,
hippopotamus__river,bear__den,hippopotamus__river,crocodile__river,trout__river,dolphin__sea,fish__sea,,
spider__web,cockroach__nest,spider__web,beaver__dam,chicken__egg,hornet__nest,locust__nest,,
chinchilla__nest,cattle__barn,chinchilla__nest,mallard__nest,cricket__nest,mouse__nest,hedgehog__nest,,
mole__hole,monkey__tree,mole__hole,goldfish__pond,duck__pond,woodchuck__hole,beaver__dam,,
hedgehog__nest,bee__hive,hedgehog__nest,hornet__nest,rat__nest,raven__nest,mouse__nest,,
snake__nest,rabbit__burrow,snake__nest,fly__nest,scorpion__nest,rat__nest,cockroach__nest,,
beaver__dam,whale__sea,beaver__dam,spider__web,bee__hive,chinchilla__nest,mouse__nest,,
bat__cave,hornet__nest,bat__cave,woodchuck__hole,chimpanzee__grove,baboon__grove,hornet__nest,4,0.838266313
duck__pond,termite__hill,duck__pond,goldfish__pond,baboon__grove,chimpanzee__grove,woodchuck__hole,,
bee__hive,duck__pond,bee__hive,cricket__nest,mouse__nest,crow__nest,chinchilla__nest,,
horse__stable,woodchuck__hole,horse__stable,pig__sty,bee__hive,flower__greenhouse,cricket__nest,,
whale__sea,crocodile__river,whale__sea,dolphin__sea,fish__sea,hippopotamus__river,herring__sea,,
hornet__nest,tiger__den,hornet__nest,hedgehog__nest,cockroach__nest,chinchilla__nest,mouse__nest,,
wolf__den,cricket__nest,wolf__den,lion__den,bear__den,fox__den,tiger__den,,
gorilla__grove,hippopotamus__river,gorilla__grove,ape__grove,baboon__grove,chimpanzee__grove,scorpion__nest,,
rat__nest,seal__den,rat__nest,cockroach__nest,hedgehog__nest,scorpion__nest,hornet__nest,,
bear__den,cockroach__nest,bear__den,fox__den,wolf__den,tiger__den,lion__den,,
pig__sty,cockroach__nest,pig__sty,lion__den,wolf__den,bear__den,fox__den,,
locust__nest,dolphin__sea,locust__nest,mallard__nest,chinchilla__nest,hornet__nest,hedgehog__nest,,
chimpanzee__grove,raven__nest,chimpanzee__grove,baboon__grove,ape__grove,gorilla__grove,bat__cave,,
crocodile__river,rabbit__burrow,crocodile__river,hippopotamus__river,trout__river,goldfish__pond,baboon__grove,,
hamster__nest,gorilla__grove,hamster__nest,mouse__nest,cockroach__nest,rat__nest,hedgehog__nest,,
tiger__den,cockroach__nest,tiger__den,fox__den,bear__den,lion__den,wolf__den,,
woodchuck__hole,seal__den,woodchuck__hole,bat__cave,baboon__grove,chimpanzee__grove,duck__pond,,
mallard__nest,mole__hole,mallard__nest,chinchilla__nest,crow__nest,locust__nest,hedgehog__nest,,
baboon__grove,seal__den,baboon__grove,chimpanzee__grove,ape__grove,gorilla__grove,duck__pond,,
rabbit__burrow,tiger__den,rabbit__burrow,deer__bellow,elk__bellow,mule__bray,pigeon__coo,,
cockroach__nest,whale__sea,cockroach__nest,rat__nest,hornet__nest,scorpion__nest,hamster__nest,,
termite__hill,snake__nest,termite__hill,hornet__nest,hedgehog__nest,cockroach__nest,scorpion__nest,,
mouse__nest,pig__sty,mouse__nest,chinchilla__nest,cricket__nest,insect__nest,hedgehog__nest,,
ape__grove,locust__nest,ape__grove,gorilla__grove,chimpanzee__grove,baboon__grove,bat__cave,,
ant__anthill,baboon__grove,ant__anthill,ferret__seal,beetle__pig,beetle__squirrel,ant__chicken,,
herring__sea,ape__grove,herring__sea,fish__sea,trout__river,hippopotamus__river,dolphin__sea,,
seal__den,termite__hill,seal__den,flag__beach,denmark__netherlands,skyline__city,catalogue__library,,
crow__nest,crocodile__river,crow__nest,raven__nest,mouse__nest,cricket__nest,chinchilla__nest,,
fish__sea,bat__cave,fish__sea,dolphin__sea,whale__sea,herring__sea,hippopotamus__river,,
fox__den,woodchuck__hole,fox__den,bear__den,tiger__den,wolf__den,lion__den,,
monkey__tree,horse__stable,monkey__tree,cat__tree,hornet__elephant,singer__shrub,ant__anthill,,
dog__doghouse,tiger__den,dog__doghouse,flower__greenhouse,pig__sty,yacht__harbor,inmate__prison,,
scorpion__nest,woodchuck__hole,scorpion__nest,cockroach__nest,rat__nest,hedgehog__nest,hornet__nest,,
molest__molester,contend__contender,molest__molester,borrow__borrower,preach__preacher,sue__lawyer,advertise__advertiser,,
send__sender,bake__baker,send__sender,deliver__deliverer,speak__speaker,provide__provider,advertise__advertiser,,
recommend__recommender,send__sender,recommend__recommender,promote__promoter,subscribe__subscriber,provide__provider,teach__teacher,,
listen__listener,intrude__intruder,listen__listener,consume__consumer,receive__receiver,believe__believer,provide__provider,,
contend__contender,publish__publisher,contend__contender,believe__believer,observe__observer,listen__listener,provide__provider,,
promote__promoter,publish__publisher,promote__promoter,perform__performer,organize__organizer,defend__defender,advertise__advertiser,,
consume__consumer,promote__promoter,consume__consumer,listen__listener,provide__provider,defend__defender,borrow__borrower,,
speak__speaker,promote__promoter,speak__speaker,write__writer,tell__teller,teach__teacher,provide__provider,,
skydive__skydiver,defend__defender,skydive__skydiver,examine__examiner,perform__performer,develop__developer,research__researcher,,
believe__believer,observe__observer,believe__believer,listen__listener,contend__contender,consume__consumer,achieve__achiever,,
explore__explorer,advertise__advertiser,explore__explorer,hunt__hunter,develop__developer,perform__performer,tell__teller,,
entertain__entertainer,offend__offender,entertain__entertainer,organise__organiser,organize__organizer,develop__developer,tell__teller,,
mourn__mourner,promote__promoter,mourn__mourner,hunt__hunter,learn__learner,explore__explorer,perform__performer,,
write__writer,observe__observer,write__writer,preach__preacher,bake__baker,compose__composer,publish__publisher,,
provide__provider,choreograph__choreographer,provide__provider,defend__defender,consume__consumer,teach__teacher,listen__listener,,
follow__follower,observe__observer,follow__follower,following__follower,receive__receiver,contend__contender,listen__listener,,
interpret__interpreter,compose__composer,interpret__interpreter,compose__composer,organise__organiser,examine__examiner,organize__organizer,1,0.946114659
deliver__deliverer,manage__manager,deliver__deliverer,advertise__advertiser,tell__teller,perform__performer,send__sender,,
offend__offender,consume__consumer,offend__offender,borrow__borrower,receive__receiver,consume__consumer,provide__provider,3,0.880110562
receive__receiver,provide__provider,receive__receiver,listen__listener,provide__provider,consume__consumer,believe__believer,2,0.914452195
suffer__sufferer,explore__explorer,suffer__sufferer,learn__learner,speak__speaker,mourn__mourner,observe__observer,,
borrow__borrower,advertise__advertiser,borrow__borrower,consume__consumer,listen__listener,provide__provider,offend__offender,,
preach__preacher,recommend__recommender,preach__preacher,write__writer,teach__teacher,bake__baker,compose__composer,,
bake__baker,follow__follower,bake__baker,compose__composer,write__writer,develop__developer,preach__preacher,,
intrude__intruder,announce__announcer,intrude__intruder,follow__follower,contend__contender,offend__offender,provide__provider,,
observe__observer,destroy__destroyer,observe__observer,explore__explorer,defend__defender,perform__performer,listen__listener,,
manage__manager,discover__discoverer,manage__manager,teach__teacher,preach__preacher,perform__performer,organize__organizer,,
defend__defender,follow__follower,defend__defender,perform__performer,promote__promoter,provide__provider,consume__consumer,,
perform__performer,choreograph__choreographer,perform__performer,promote__promoter,defend__defender,entertain__entertainer,organize__organizer,,
begin__beginner,observe__observer,begin__beginner,inaugurate__mayor,observe__observer,achieve__achiever,buying_an_item__buyer,2,0.765049934
publish__publisher,explore__explorer,publish__publisher,bake__baker,advertise__advertiser,write__writer,compose__composer,,
advertise__advertiser,follow__follower,advertise__advertiser,deliver__deliverer,promote__promoter,publish__publisher,perform__performer,,
subscribe__subscriber,achieve__achiever,subscribe__subscriber,advertise__advertiser,recommend__recommender,teach__teacher,provide__provider,,
develop__developer,manage__manager,develop__developer,organise__organiser,organize__organizer,bake__baker,entertain__entertainer,,
achieve__achiever,molest__molester,achieve__achiever,learn__learner,consume__consumer,destroy__destroyer,discover__discoverer,,
tell__teller,organize__organizer,tell__teller,entertain__entertainer,deliver__deliverer,organise__organiser,bake__baker,,
examine__examiner,contend__contender,examine__examiner,compose__composer,organise__organiser,develop__developer,bake__baker,,
slay__slayer,intrude__intruder,slay__slayer,defend__defender,provide__provider,contend__contender,perform__performer,,
teach__teacher,consume__consumer,teach__teacher,preach__preacher,manage__manager,provide__provider,write__writer,,
learn__learner,borrow__borrower,learn__learner,achieve__achiever,mourn__mourner,consume__consumer,discover__discoverer,,
lose__loser,tell__teller,lose__loser,accepting_a_belief__believer,offend__offender,believe__believer,follow__follower,,
discover__discoverer,observe__observer,discover__discoverer,tell__teller,achieve__achiever,deliver__deliverer,learn__learner,,
organise__organiser,choreograph__choreographer,organise__organiser,organize__organizer,entertain__entertainer,develop__developer,examine__examiner,,
compose__composer,organize__organizer,compose__composer,bake__baker,develop__developer,examine__examiner,interpret__interpreter,,
organize__organizer,observe__observer,organize__organizer,organise__organiser,develop__developer,entertain__entertainer,promote__promoter,,
stockholm__sweden,belgrade__serbia,stockholm__sweden,berlin__germany,Copenhagen__Denmark,Stockholm__Sweden,bangkok__thailand,,
warsaw__poland,taipei__taiwan,warsaw__poland,language__area,visage__countenance,gramm__womb,havana__cuba,,
amman__jordan,ankara__turkey,amman__jordan,tehran__iran,madrid__spain,conakry__kiev,bucharest__kiev,,
budapest__hungary,copenhagen__denmark,budapest__hungary,arid__dry,mind__confused,well__excited,beirut__belgrade,,
sofia__bulgaria,rome__italy,sofia__bulgaria,usa__guyana,ankara__vienna,usa__moldova,collar__choker,,
cairo__egypt,santiago__chile,cairo__egypt,haiti__ecuador,haiti__colombia,dhaka__bangladesh,tokyo__japan,,
dhaka__bangladesh,vienna__austria,dhaka__bangladesh,cairo__egypt,haiti__colombia,lenin__soviet,Funafuti__Tuvalu,,
jakarta__indonesia,tokyo__japan,jakarta__indonesia,Jakarta__Indonesia,bangkok__thailand,paris__france,islamabad__pakistan,,
kabul__afghanistan,madrid__spain,kabul__afghanistan,damascus__syria,bangkok__thailand,worcester__worcestershire,berlin__germany,,
bucharest__romania,belgrade__serbia,bucharest__romania,belgrade__serbia,rome__italy,islamabad__pakistan,zagreb__croatia,1,0.948906958
canberra__australia,moscow__russia,canberra__australia,jakarta__indonesia,bangkok__thailand,paris__france,rome__italy,,
taipei__taiwan,cairo__egypt,taipei__taiwan,bolivia__colombia,york__yorkshire,tolstoi__wittgenstein,state__nation,,
helsinki__finland,tehran__iran,helsinki__finland,ottawa__canada,oslo__norway,bern__switzerland,kabul__afghanistan,,
ottawa__canada,dublin__ireland,ottawa__canada,oslo__norway,helsinki__finland,tokyo__japan,kabul__afghanistan,,
london__england,conakry__guinea,london__england,bolivia__ecuador,bolivia__colombia,Taipei__Taiwan,usa__palestine,,
bangkok__thailand,london__england,bangkok__thailand,hanoi__vietnam,jakarta__indonesia,Baghdad__Iraq,Kabul__Afghanistan,,
beijing__china,kiev__ukraine,beijing__china,santiago__chile,manila__copenhagen,beirut__sofia,bangkok__sofia,,
oslo__norway,madrid__spain,oslo__norway,berlin__germany,ottawa__canada,kabul__afghanistan,helsinki__finland,,
islamabad__pakistan,belgrade__serbia,islamabad__pakistan,jakarta__indonesia,paris__france,bangkok__thailand,belgrade__serbia,4,0.939303756
madrid__spain,taipei__taiwan,madrid__spain,amman__jordan,bucharest__kiev,tehran__iran,rome__italy,,
copenhagen__denmark,stockholm__sweden,copenhagen__denmark,bolivia__denmark,cyprus__denmark,maxwell__strauss,office__rank,,
zagreb__croatia,lima__peru,zagreb__croatia,belgrade__serbia,Tirana__Albania,Tashkent__Uzbekistan,hanoi__vietnam,,
damascus__syria,ankara__turkey,damascus__syria,vienna__austria,kabul__afghanistan,rome__italy,cambridge__cambridgeshire,,
ankara__turkey,ottawa__canada,ankara__turkey,hairnet__peach,jacket__hamburger,ankara__vienna,necklace__lemon,,
moscow__russia,paris__france,moscow__russia,athens__greece,paris__france,islamabad__pakistan,Fremont__California,2,0.83774966
hanoi__vietnam,london__england,hanoi__vietnam,Hanoi__Vietnam,bangkok__thailand,Kabul__Afghanistan,Vientiane__Laos,,
nairobi__kenya,hanoi__vietnam,nairobi__kenya,rome__tokyo,tbilisi__georgia,kiev__ukraine,rome__italy,,
baghdad__iraq,dublin__ireland,baghdad__iraq,sentence__punishment,authorize__authorization,criterion__judgment,permission__allowance,,
paris__france,baghdad__iraq,paris__france,vienna__austria,jakarta__indonesia,islamabad__pakistan,Santiago__Chile,,
conakry__guinea,beijing__china,conakry__guinea,budapest__taipei,kingston__lima,coventry__hereford,inverness__wells,,
kiev__ukraine,hanoi__vietnam,kiev__ukraine,bucharest__romania,rome__italy,belgrade__serbia,islamabad__pakistan,,
beirut__lebanon,jakarta__indonesia,beirut__lebanon,beirut__damascus,salford__norwich,canterbury__kent,Wichita__Madison,,
dublin__ireland,jakarta__indonesia,dublin__ireland,cairo__egypt,haiti__ecuador,haiti__colombia,dhaka__bangladesh,,
tbilisi__georgia,ottawa__canada,tbilisi__georgia,bucharest__romania,belgrade__serbia,vienna__austria,kiev__ukraine,,
santiago__chile,hanoi__vietnam,santiago__chile,beijing__china,guatemala__guam,manila__copenhagen,egypt__guam,,
vienna__austria,sofia__bulgaria,vienna__austria,paris__france,Niamey__Niger,cambridge__cambridgeshire,Nairobi__Kenya,,
tokyo__japan,tehran__iran,tokyo__japan,ottawa__canada,haiti__ecuador,cairo__egypt,syria__peru,,
havana__cuba,berlin__germany,havana__cuba,havana__berlin,havana__tbilisi,ottawa__kabul,haiti__ecuador,,
tehran__iran,belgrade__serbia,tehran__iran,stockholm__sweden,belgrade__serbia,paris__france,Cairo__Egypt,2,0.92488575
bern__switzerland,tehran__iran,bern__switzerland,bern__tbilisi,helsinki__finland,Mesa__Arizona,ottawa__canada,,
berlin__germany,amman__jordan,berlin__germany,stockholm__sweden,vienna__austria,paris__france,belgrade__serbia,,
kingston__jamaica,vienna__austria,kingston__jamaica,kingston__amman,Funafuti__Tuvalu,preston__lancashire,gorbachev__soviet,,
lisbon__portugal,vienna__austria,lisbon__portugal,mexico__spanish,dundee__belfast,euclid__greek,austria__german,,
rome__italy,beijing__china,rome__italy,belgrade__serbia,bangkok__thailand,paris__france,bucharest__romania,,
brussels__belgium,kiev__ukraine,brussels__belgium,lima__peru,chile__guadeloupe,hereford__herefordshire,oxford__oxfordshire,,
velociraptor__dinosaur,anaconda__snake,velociraptor__dinosaur,stegosaurus__dinosaur,triceratops__dinosaur,tyrannosaurus__dinosaur,allosaurus__dinosaur,,
mamba__snake,coyote__canine,mamba__snake,anaconda__snake,locust__wasp,chinchilla__rodent,beaver__rodent,,
vulture__raptor,coyote__canine,vulture__raptor,owl__raptor,falcon__raptor,hawk__raptor,eagle__raptor,,
mouse__rodent,wolf__canine,mouse__rodent,squirrel__rodent,ant__insect,beetle__insect,chimpanzee__primate,,
rattlesnake__snake,duck__fowl,rattlesnake__snake,cobra__snake,triceratops__dinosaur,herring__fish,goldfish__fish,,
jackal__canine,deer__bovid,jackal__canine,coyote__canine,jaguar__feline,goat__bovid,tiger__feline,,
triceratops__dinosaur,cockroach__insect,triceratops__dinosaur,stegosaurus__dinosaur,velociraptor__dinosaur,tyrannosaurus__dinosaur,alligator__reptile,,
fox__canine,gorilla__primate,fox__canine,pony__bovid,deer__bovid,cobra__human,ferret__bee,,
goat__bovid,stegosaurus__dinosaur,goat__bovid,cow__bovid,deer__bovid,leopard__feline,jackal__canine,,
pony__bovid,mamba__snake,pony__bovid,deer__bovid,fox__canine,human__animal,human__primate,,
wolf__canine,goat__bovid,wolf__canine,lion__feline,tiger__feline,coyote__canine,leopard__feline,,
orangutan__primate,lion__feline,orangutan__primate,chimpanzee__primate,gorilla__primate,gibbon__primate,alligator__reptile,,
coyote__canine,leopard__feline,coyote__canine,jackal__canine,jaguar__feline,wolf__canine,tiger__feline,,
bee__insect,fox__canine,bee__insect,butterfly__insect,ant__insect,cockroach__insect,beetle__insect,,
deer__bovid,gibbon__primate,deer__bovid,goat__bovid,pony__bovid,cow__bovid,coyote__canine,,
human__primate,owl__raptor,human__primate,human__animal,turkey__stegosaurus,goose__stegosaurus,wolf__antelope,,
beetle__insect,goat__bovid,beetle__insect,cricket__insect,ant__insect,cockroach__insect,butterfly__insect,,
anaconda__snake,eagle__raptor,anaconda__snake,mamba__snake,cobra__snake,tyrannosaurus__dinosaur,allosaurus__dinosaur,,
ant__insect,tyrannosaurus__dinosaur,ant__insect,beetle__insect,cricket__insect,butterfly__insect,cockroach__insect,,
hawk__raptor,tyrannosaurus__dinosaur,hawk__raptor,falcon__raptor,eagle__raptor,vulture__raptor,owl__raptor,,
chimpanzee__primate,beaver__rodent,chimpanzee__primate,orangutan__primate,gorilla__primate,mouse__rodent,gorilla__ape,,
cow__bovid,squirrel__rodent,cow__bovid,goat__bovid,dog__canine,leopard__feline,bird__avian,,
lion__feline,human__primate,lion__feline,leopard__feline,tiger__feline,jaguar__feline,wolf__canine,,
goose__fowl,vulture__raptor,goose__fowl,duck__fowl,turkey__fowl,chicken__fowl,quail__fowl,,
falcon__raptor,duck__fowl,falcon__raptor,hawk__raptor,vulture__raptor,owl__raptor,eagle__raptor,,
tyrannosaurus__dinosaur,deer__bovid,tyrannosaurus__dinosaur,stegosaurus__dinosaur,allosaurus__dinosaur,velociraptor__dinosaur,triceratops__dinosaur,,
cockroach__insect,deer__bovid,cockroach__insect,cricket__insect,butterfly__insect,beetle__insect,ant__insect,,
cobra__snake,vulture__raptor,cobra__snake,cricket__insect,rattlesnake__snake,squirrel__rodent,beetle__insect,,
butterfly__insect,chinchilla__rodent,butterfly__insect,cricket__insect,ant__insect,cockroach__insect,beetle__insect,,
owl__raptor,mamba__snake,owl__raptor,vulture__raptor,falcon__raptor,eagle__raptor,hawk__raptor,,
chinchilla__rodent,jaguar__feline,chinchilla__rodent,beaver__rodent,porcupine__rodent,goldfish__insect,mamba__snake,,
jaguar__feline,eagle__raptor,jaguar__feline,leopard__feline,lion__feline,tiger__feline,coyote__canine,,
gorilla__primate,tyrannosaurus__dinosaur,gorilla__primate,orangutan__primate,gorilla__ape,chimpanzee__primate,alligator__reptile,,
leopard__feline,turkey__fowl,leopard__feline,lion__feline,jaguar__feline,tiger__feline,gorilla__ape,,
beaver__rodent,quail__fowl,beaver__rodent,chinchilla__rodent,goldfish__insect,porcupine__rodent,hippopotamus__insect,,
allosaurus__dinosaur,cat__feline,allosaurus__dinosaur,tyrannosaurus__dinosaur,stegosaurus__dinosaur,velociraptor__dinosaur,cobra__snake,,
duck__fowl,lion__feline,duck__fowl,goose__fowl,chicken__fowl,turkey__fowl,quail__fowl,,
porcupine__rodent,wolf__canine,porcupine__rodent,gibbon__primate,squirrel__rodent,mouse__rodent,chinchilla__rodent,,
gibbon__primate,goose__fowl,gibbon__primate,orangutan__primate,chimpanzee__primate,gorilla__primate,porcupine__rodent,,
chicken__fowl,deer__bovid,chicken__fowl,duck__fowl,goose__fowl,turkey__fowl,eagle__bird,,
eagle__raptor,dog__canine,eagle__raptor,hawk__raptor,owl__raptor,falcon__raptor,vulture__raptor,,
dog__canine,chinchilla__rodent,dog__canine,bird__avian,cat__feline,cow__bovid,hawk__raptor,,
tiger__feline,chicken__fowl,tiger__feline,lion__feline,jaguar__feline,leopard__feline,wolf__canine,,
stegosaurus__dinosaur,leopard__feline,stegosaurus__dinosaur,tyrannosaurus__dinosaur,velociraptor__dinosaur,triceratops__dinosaur,allosaurus__dinosaur,,
turkey__fowl,pony__bovid,turkey__fowl,duck__fowl,goose__fowl,chicken__fowl,quail__fowl,,
cambodia__khmer,australia__english,cambodia__khmer,bangladesh__bengali,morocco__berber,Albania__Albanian,Portugal__Portuguese,,
denmark__danish,cyprus__greek,denmark__danish,argentina__spanish,syria__arabic,chile__spanish,mexico__spanish,,
peru__spanish,fiji__english,peru__spanish,ecuador__spanish,nicaragua__spanish,bolivia__spanish,venezuela__spanish,,
guam__english,cyprus__greek,guam__english,bahamas__english,fiji__english,jamaica__english,barbados__english,,
mexico__spanish,canada__english,mexico__spanish,peru__spanish,nicaragua__spanish,ecuador__spanish,cuba__spanish,,
netherlands__dutch,guyana__english,netherlands__dutch,ethiopia__amharic,guadeloupe__french,venezuela__netherlands,egypt__arabic,,
palestine__arabic,mozambique__portuguese,palestine__arabic,egypt__arabic,jordan__arabic,ethiopia__amharic,peru__spanish,,
haiti__creole,philippines__tagalog,haiti__creole,iraq__arabic,raphael__italian,kuwait__arabic,syria__arabic,,
mozambique__portuguese,venezuela__spanish,mozambique__portuguese,brazil__portuguese,venezuela__spanish,nicaragua__spanish,bolivia__spanish,2,0.873584151
bahamas__english,norway__norwegian,bahamas__english,fiji__english,guam__english,jamaica__english,barbados__english,,
colombia__spanish,philippines__tagalog,colombia__spanish,bolivia__spanish,venezuela__spanish,ecuador__spanish,peru__spanish,,
